Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
HOUSTON COMETS,5,2,3,41.0,87.8,12.2,65.3,16.9,9.6,7.0,25.1,16.0,48.4,52.7,47.3,72.7,27.3,54.5,45.5,Playoffs,2005
NEW YORK LIBERTY,2,0,2,40.0,73.4,26.6,55.4,17.8,20.8,7.9,23.8,19.8,37.6,50.0,50.0,71.4,28.6,54.3,45.7,Playoffs,2005
DETROIT SHOCK,2,0,2,40.0,86.7,13.3,65.1,20.2,14.0,12.4,20.9,18.6,45.0,47.6,52.4,66.7,33.3,50.0,50.0,Playoffs,2005
SEATTLE STORM,3,1,2,40.0,64.4,35.6,46.1,13.8,24.9,12.4,29.0,18.9,32.3,68.0,32.0,77.8,22.2,70.6,29.4,Playoffs,2006
LOS ANGELES SPARKS,5,2,3,40.0,79.1,20.9,57.6,15.4,24.0,8.3,18.4,22.3,42.1,61.9,38.1,88.9,11.1,67.7,32.3,Playoffs,2006
DETROIT SHOCK,10,7,3,40.0,86.9,13.1,67.1,25.1,11.6,12.3,21.3,19.8,42.0,59.0,41.0,69.0,31.0,60.0,40.0,Playoffs,2006
CONNECTICUT SUN,5,3,2,40.0,73.2,26.8,56.7,19.7,23.3,6.6,20.0,15.8,37.0,54.7,45.3,76.9,23.1,59.5,40.5,Playoffs,2006
SACRAMENTO MONARCHS,9,6,3,40.0,79.1,20.9,59.3,19.6,22.4,7.6,18.3,23.2,39.7,52.9,47.1,76.9,23.1,57.8,42.2,Playoffs,2006
WASHINGTON MYSTICS,2,0,2,40.0,77.3,22.7,63.5,28.6,19.0,10.3,17.5,14.3,34.9,47.5,52.5,100.0,0.0,56.3,43.8,Playoffs,2006
HOUSTON COMETS,2,0,2,40.0,79.6,20.4,59.2,21.1,12.7,2.8,28.2,9.2,38.0,50.0,50.0,66.7,33.3,52.1,47.9,Playoffs,2006
INDIANA FEVER,2,0,2,40.0,76.7,23.3,61.9,25.9,21.6,1.4,16.5,15.1,36.0,37.2,62.8,40.0,60.0,37.7,62.3,Playoffs,2006
SAN ANTONIO SILVER STARS,5,2,3,40.0,69.2,30.8,49.6,12.3,34.8,11.1,15.6,23.4,37.4,54.3,45.7,87.8,12.2,64.9,35.1,Playoffs,2007
CONNECTICUT SUN,3,1,2,46.7,70.1,29.9,61.7,24.2,25.0,10.4,13.3,16.7,37.5,54.1,45.9,90.0,10.0,61.7,38.3,Playoffs,2007
PHOENIX MERCURY,9,7,2,40.0,61.6,38.4,45.0,13.2,33.8,17.1,21.2,17.3,31.8,47.4,52.6,86.6,13.4,60.5,39.5,Playoffs,2007
INDIANA FEVER,6,3,3,43.3,71.5,28.5,51.1,17.7,27.9,13.9,21.0,22.3,33.3,45.8,54.2,93.0,7.0,58.4,41.6,Playoffs,2007
NEW YORK LIBERTY,3,1,2,41.7,71.9,28.1,56.5,29.6,27.8,4.2,15.7,15.7,26.9,47.5,52.5,90.0,10.0,58.0,42.0,Playoffs,2007
DETROIT SHOCK,11,6,5,40.5,78.3,21.7,61.1,21.1,21.4,7.7,17.5,15.7,40.0,48.7,51.3,78.7,21.3,54.3,45.7,Playoffs,2007
SACRAMENTO MONARCHS,3,1,2,40.0,82.9,17.1,61.3,12.4,16.0,8.0,22.7,19.1,48.9,52.2,47.8,66.7,33.3,54.3,45.7,Playoffs,2007
SEATTLE STORM,2,0,2,40.0,64.2,35.8,50.9,10.4,36.4,6.4,12.7,9.8,40.5,31.8,68.2,90.5,9.5,50.8,49.2,Playoffs,2007
LOS ANGELES SPARKS,6,3,3,40.0,78.4,21.6,63.2,21.4,19.2,12.8,17.6,21.9,41.8,59.4,40.6,100.0,0.0,66.3,33.8,Playoffs,2008
SAN ANTONIO SILVER STARS,9,4,5,40.6,75.7,24.3,55.9,23.7,21.5,8.0,22.6,21.7,32.1,58.7,41.3,82.6,17.4,63.6,36.4,Playoffs,2008
INDIANA FEVER,3,1,2,41.7,65.2,34.8,46.8,15.3,25.7,8.1,27.5,18.0,31.5,51.9,48.1,94.7,5.3,63.4,36.6,Playoffs,2008
SACRAMENTO MONARCHS,3,1,2,41.7,81.1,18.9,69.1,18.1,16.0,10.7,14.8,25.9,51.0,52.4,47.6,84.6,15.4,56.7,43.3,Playoffs,2008
CONNECTICUT SUN,3,1,2,40.0,72.9,27.1,61.6,20.2,18.2,9.1,20.2,23.7,41.4,50.8,49.2,83.3,16.7,56.2,43.8,Playoffs,2008
NEW YORK LIBERTY,6,3,3,40.0,68.0,32.0,54.5,12.6,33.3,3.3,12.1,17.2,41.9,43.5,56.5,81.8,18.2,54.6,45.4,Playoffs,2008
DETROIT SHOCK,9,7,2,40.6,80.6,19.4,63.0,23.3,17.7,7.1,19.2,22.9,39.7,46.6,53.4,84.6,15.4,52.6,47.4,Playoffs,2008
SEATTLE STORM,3,1,2,40.0,78.0,22.0,56.9,20.3,16.8,11.7,26.4,31.0,36.5,41.1,58.9,81.8,18.2,47.8,52.2,Playoffs,2008
LOS ANGELES SPARKS,6,3,3,40.0,78.9,21.1,56.5,13.5,19.6,5.3,23.8,19.4,43.0,52.2,47.8,90.3,9.7,59.4,40.6,Playoffs,2009
SEATTLE STORM,3,1,2,40.0,72.5,27.5,50.5,14.9,28.2,9.4,21.3,28.7,35.6,45.1,54.9,94.7,5.3,58.6,41.4,Playoffs,2009
INDIANA FEVER,10,6,4,41.0,73.8,26.2,56.8,14.1,19.8,10.7,23.4,21.1,42.7,52.7,47.3,78.2,21.8,57.5,42.5,Playoffs,2009
ATLANTA DREAM,2,0,2,40.0,78.5,21.5,54.8,14.3,21.4,11.9,23.8,17.3,40.5,52.2,47.8,75.0,25.0,56.9,43.1,Playoffs,2009
DETROIT SHOCK,5,3,2,40.0,80.4,19.6,62.2,22.4,17.9,15.9,19.9,22.6,39.8,48.8,51.2,91.7,8.3,55.7,44.3,Playoffs,2009
PHOENIX MERCURY,11,7,4,40.5,70.3,29.7,53.8,12.6,26.7,11.9,19.5,16.9,41.2,42.1,57.9,80.4,19.6,51.6,48.4,Playoffs,2009
SAN ANTONIO SILVER STARS,3,1,2,40.0,71.6,28.4,52.7,16.0,30.9,11.1,16.4,11.5,36.6,42.0,58.0,74.1,25.9,51.0,49.0,Playoffs,2009
WASHINGTON MYSTICS,2,0,2,42.5,77.6,22.4,66.7,17.0,15.7,11.8,17.6,24.8,49.7,41.2,58.8,87.5,12.5,47.5,52.5,Playoffs,2009
PHOENIX MERCURY,4,2,2,40.0,75.7,24.3,58.9,14.4,26.7,15.3,14.4,18.3,44.4,66.0,34.0,78.1,21.9,68.8,31.2,Playoffs,2010
SAN ANTONIO SILVER STARS,2,0,2,40.0,73.7,26.3,48.2,9.6,28.9,17.5,22.9,17.5,38.6,57.5,42.5,87.5,12.5,66.1,33.9,Playoffs,2010
SEATTLE STORM,7,7,0,40.0,68.0,32.0,52.2,11.3,27.6,9.2,20.1,20.3,41.0,54.2,45.8,85.2,14.8,62.3,37.7,Playoffs,2010
ATLANTA DREAM,7,4,3,40.0,83.6,16.4,63.5,20.4,14.4,17.7,22.2,18.2,43.1,52.8,47.2,76.7,23.3,55.9,44.1,Playoffs,2010
NEW YORK LIBERTY,5,2,3,40.0,77.4,22.6,62.0,19.1,21.9,9.1,16.1,16.9,42.8,48.0,52.0,82.8,17.2,54.6,45.4,Playoffs,2010
INDIANA FEVER,3,1,2,40.0,75.6,24.4,54.1,17.1,20.3,8.1,25.7,19.4,36.9,43.3,56.7,73.3,26.7,49.3,50.7,Playoffs,2010
LOS ANGELES SPARKS,2,0,2,40.0,78.0,22.0,54.5,13.6,27.3,4.5,18.2,22.0,40.9,36.1,63.9,83.3,16.7,47.9,52.1,Playoffs,2010
WASHINGTON MYSTICS,2,0,2,40.0,76.9,23.1,52.7,9.6,16.2,12.0,31.1,12.0,43.1,29.5,70.5,88.9,11.1,39.6,60.4,Playoffs,2010
SAN ANTONIO SILVER STARS,3,1,2,40.0,66.1,33.9,50.9,18.5,31.9,9.3,17.1,19.9,32.4,70.9,29.1,69.6,30.4,70.5,29.5,Playoffs,2011
CONNECTICUT SUN,2,0,2,40.0,79.6,20.4,52.7,20.3,28.4,9.5,18.9,22.3,32.4,64.1,35.9,71.4,28.6,66.0,34.0,Playoffs,2011
NEW YORK LIBERTY,3,1,2,40.0,73.8,26.2,59.7,15.4,23.1,9.0,17.2,25.8,44.3,51.5,48.5,76.5,23.5,56.6,43.4,Playoffs,2011
INDIANA FEVER,6,3,3,40.0,73.2,26.8,55.4,13.5,25.0,10.6,19.6,17.3,41.9,46.3,53.7,86.5,13.5,55.6,44.4,Playoffs,2011
MINNESOTA LYNX,8,7,1,40.0,83.7,16.3,64.4,19.5,14.4,14.0,21.1,17.2,44.9,51.6,48.4,78.8,21.2,55.1,44.9,Playoffs,2011
